"a","v1"
"1","RPL23A","0.283055416094289"
"2","ARL8B","0.459701109891498"
"3","CALB2","0.720676259356012"
"4","PFN2","0.678699615439396"
"5","RAD23A","0.5661179537066"
"6","SIN3B","0.156591777838962"
"7","CTSA","0.571217977600251"
"8","NUCB2","0.687189658151029"
"9","PKP2","0.740063666616592"
"10","KRT1","-0.0863673382577216"
"11","SCFD2","0.22315316454437"
"12","YWHAB","0.218345742579872"
"13","TOMM40","0.674827926325053"
"14","NDUFAF2","0.607567352011931"
"15","CWC27","0.469057114371172"
"16","APIP","0.510821185180203"
"17","SPCS2","0.373693206095998"
"18","COX17","0.260380502709608"
"19","PSMB6","0.0160911272695098"
"20","ATP2A1","0.0232231875801168"
"21","NOP2","0.6280738361777"
"22","TMCO1","0.0212826566112181"
"23","RAB5C","0.448530210316567"
"24","SLC2A1","0.664076812557691"
"25","PPOX","0.503755717261052"
"26","H6PD","0.672667743214319"
"27","RCOR1","0.336519613516438"
"28","EVPL","0.499246899472256"
"29","WDR70","0.69948849787979"
"30","PDCD6","0.707413473864122"
"31","EPB41L2","0.763489466404618"
"32","LDHA","0.65984190286284"
"33","UBE3A","0.567397806580259"
"34","NOP16","0.525872382851446"
"35","GNA12","-0.177532322791051"
"36","ASUN","0.338289307594375"
"37","PPP1R7","0.636470297092408"
"38","PES1","0.384757129962741"
"39","HSDL2","0.77283150548355"
"40","PTCD3","0.0951617928555086"
"41","SERPINB3","0.167551644439205"
"42","EXOSC7","0.159136875089019"
"43","OGDHL","0.266245072801406"
"44","PLOD1","0.583527543418504"
"45","RCN3","0.703017203777649"
"46","PPP4C","0.146205025310225"
"47","ALDOA","0.777724564128905"
"48","NCEH1","0.599950149551346"
"49","SMARCC2","0.405645227339231"
"50","LEMD2","0.287987580054564"
"51","UQCRB","0.214009119123116"
"52","PCBP3","-0.0357893162615276"
"53","LNPEP","0.662206238427575"
"54","DOCK10","0.213745241937126"
"55","ARFGEF1","0.398803589232303"
"56","VPS45","0.333586147225257"
"57","LPCAT3","0.41919747613667"
"58","CAND1","0.627993263047932"
"59","SMARCC1","0.46995965660338"
"60","PRKACB","0.22109069415128"
"61","HOOK3","0.419463039453069"
"62","DHX15","0.489265220883166"
"63","CHORDC1","0.70646170938245"
"64","AKR1C2","0.330926260243731"
"65","EIF3I","0.110240902722192"
"66","HMGB2","0.568302236148697"
"67","UBE2N","0.636834627673271"
"68","NIF3L1","0.531874134293837"
"69","MUT","0.5569408861654"
"70","VTA1","0.685272753169064"
"71","EML2","0.732680529839054"
"72","PON1","-0.00469307202157136"
"73","CFHR2","-0.00598083276796783"
"74","LYZ","0.297279589802023"
"75","DDX21","0.561448799048032"
"76","VAC14","0.562128902808366"
"77","USP9X","0.578947368424723"
"78","ZZEF1","0.212085173052272"
"79","CCDC90B","0.486131758531889"
"80","UBE2Z","0.697572978033485"
"81","FOCAD","0.287185896547528"
"82","WDR36","0.158072493363898"
"83","TRIM25","0.234368323600627"
"84","XPO4","0.355175262466769"
