"TCGA.24.1553.01A"	"TCGA.24.1422.01A"	"TCGA.36.1569.01A"	"TCGA.36.1581.01A"	"TCGA.24.1603.01A"	"TCGA.29.1710.01A"	"TCGA.29.1688.01A"	"TCGA.24.1467.01A"	"TCGA.24.1923.01A"	"TCGA.24.2027.01A"	"TCGA.24.1550.01A"	"TCGA.24.1557.01A"	"TCGA.24.1563.01A"	"TCGA.24.1104.01A"	"TCGA.61.1724.01A"	"TCGA.24.1464.01A"	"TCGA.29.2427.01A"	"TCGA.25.1318.01A"	"TCGA.29.1766.01A"	"TCGA.13.1483.01A"	"TCGA.25.1312.01A"	"TCGA.24.1105.01A"	"TCGA.13.1410.01A"	"TCGA.13.1488.01A"	"TCGA.24.2023.01A"	"TCGA.13.1507.01A"	"TCGA.29.1770.01A"	"TCGA.29.1776.01A"	"TCGA.29.1693.01A"	"TCGA.29.1769.01A"	"TCGA.24.1544.01A"	"TCGA.24.1428.01A"	"TCGA.24.2020.01A"	"TCGA.30.1891.01A"	"TCGA.25.2409.01A"	"TCGA.25.1329.01A"	"TCGA.24.1430.01A"	"TCGA.61.1911.01A"	"TCGA.30.1866.01A"	"TCGA.24.2298.01A"	"TCGA.25.1628.01A"	"TCGA.13.1489.01A"	"TCGA.29.1774.01A"	"TCGA.61.1910.01A"	"TCGA.23.1123.01A"	"TCGA.61.1914.01A"	"TCGA.25.2399.01A"	"TCGA.24.1431.01A"	"TCGA.29.1762.01A"	"TCGA.24.1565.01A"	"TCGA.24.1416.01A"	"TCGA.29.1696.01A"	"TCGA.61.1907.01A"	"TCGA.25.1316.01A"	"TCGA.24.2261.01A"	"TCGA.61.1995.01A"	"TCGA.25.1630.01A"	"TCGA.24.1558.01A"	"TCGA.13.2060.01A"	"TCGA.09.2056.01A"	"TCGA.24.1604.01A"	"TCGA.24.2290.01A"	"TCGA.29.1705.01A"	"TCGA.29.1711.01A"	"TCGA.36.1570.01A"	"TCGA.25.1323.01A"	"TCGA.59.2348.01A"	"TCGA.25.1623.01A"	"TCGA.25.1631.01A"	"TCGA.24.2033.01A"	"TCGA.24.1103.01A"	"TCGA.25.1322.01A"	"TCGA.13.1499.01A"	"TCGA.36.1580.01A"	"TCGA.61.1741.01A"	"TCGA.36.1577.01A"	"TCGA.25.1320.01A"	"TCGA.13.1497.01A"	"TCGA.61.1919.01A"	"TCGA.24.1552.01A"	"TCGA.24.1562.01A"	"TCGA.25.1321.01A"	"TCGA.25.2396.01A"	"TCGA.24.1474.01A"	"TCGA.59.2352.01A"	"TCGA.29.1785.01A"	"TCGA.61.1918.01A"	"TCGA.25.1313.01A"	"TCGA.23.1122.01A"	"TCGA.25.1635.01A"	"TCGA.25.1319.01A"	"TCGA.24.1435.01A"	"TCGA.13.1511.01A"	"TCGA.13.1492.01A"	"TCGA.25.2404.01A"	"TCGA.24.2288.01A"	"TCGA.24.2267.01A"	"TCGA.29.1768.01A"	"TCGA.13.1404.01A"	"TCGA.25.2400.01A"	"TCGA.36.1571.01A"	"TCGA.24.2289.01A"	"TCGA.29.1697.01A"	"TCGA.59.2351.01A"	"TCGA.24.1551.01A"	"TCGA.61.1900.01A"	"TCGA.13.1485.01A"	"TCGA.29.1763.01A"	"TCGA.36.1576.01A"	"TCGA.61.2008.01A"	"TCGA.29.2414.01A"	"TCGA.29.1690.01A"	"TCGA.24.2024.01A"	"TCGA.61.2088.01A"	"TCGA.29.1777.01A"	"TCGA.13.1501.01A"	"TCGA.13.1495.01A"	"TCGA.13.1487.01A"	"TCGA.13.1409.01A"
"EPB41L2"	-0.140475	0.35775	0.15575	-0.69	-0.546	0.43475	0.625875	-0.146	0.526	0.413	-0.425	-0.58525	-0.175	-0.307	0.03855	0.67475	0.30375	-0.46425	0.04815	-0.47325	1.08875	-0.589	-0.09725	0.445	0.247	-0.16625	-0.39425	0.226	0.147375	-0.33325	-0.07945	-0.71	-1.24	-0.02406	-0.300625	-0.29325	-0.069925	-0.519125	-0.508	0.84475	0.065175	-0.578125	-0.486	-1.25125	-0.131	-0.0192	0.15975	0.27175	-0.375625	0.64775	0.46475	-0.08855	-0.462825	0.114	-0.32625	-0.300625	0.302	-0.49225	0.52175	-0.30525	-0.00252	-0.420125	-0.21325	-0.64425	0.41875	0.36875	-0.67125	0.502875	0.17375	0.13975	0.239875	0.39575	-0.299	-0.030994	-0.625625	0.68875	0.0893	0.48075	-0.0145	-0.216	-0.229625	0.834	1.25875	-0.48525	0.98875	-0.185	-0.42525	0.36475	-0.00555	0.503	0.344	-0.315625	-0.32725	-0.28925	0.644375	-0.0479	-0.0704	0.260375	-0.68325	1.4	0.52875	0.189875	0.064875	0.62875	0.325	0.443	0.13375	-0.552125	0.0862	0.043975	0.311	0.45975	-0.044325	1.68875	-0.0248	0.02485	0.235	0.49675	-0.55925
"HSDL2"	-0.35385	-0.1667	-0.6057	-0.000425	0.389	-0.7187	-0.05205	0.156	0.802	0.874	-0.306	1.5373	-0.496	0.569	0.5123	-0.1027	0.3973	0.3583	-0.1077	0.4073	0.4843	-0.358	-0.3817	0.153	0.0432	-0.2257	0.3433	-0.121	-0.39085	0.3363	0.1975	0.33	0.318	-0.1917	-0.30285	0.2923	0.08305	-0.15735	-0.327	1.2873	-0.26695	-0.03685	0.388	-0.4097	-0.15	0.139	0.0883	-0.1037	0.73465	1.0083	0.6943	0.3443	0.39065	-0.0268	0.1858	0.1439	0.212	-0.2137	-0.1537	0.3753	0.0585	0.47815	0.5473	0.1394	-0.0767	-0.0127	0.3513	0.23565	0.10385	0.3503	0.37665	0.5163	-0.394	-0.2527	-0.10535	0.9663	-0.377	-0.0847	-0.508	-0.000227	-0.32985	0.41	0.7503	-0.4307	0.3723	-0.324	-0.4057	0.8913	0.1665	0.559	0.454	-0.07945	-0.6687	0.6573	0.49915	0.195	-0.0753	0.19665	0.11075	-0.0464	-0.5387	-0.43635	0.56665	0.6233	-0.0255	-0.0307	0.0715	0.24265	-0.483	0.94465	-0.163	-0.5097	-0.69285	0.7073	-0.555	0.0591	-0.83	-0.0507	-0.7777
"PDIA3"	-0.2024275	0.115145	-0.410855	0.351	-0.304	-0.044079	0.1935725	0.34	0.0131	-0.402	0.127	-0.414855	0.221	-0.0655	-0.018455	-0.297855	0.527145	-0.680855	-0.058455	0.437145	-0.133555	0.453	0.038045	-0.413	-0.278	0.024245	-0.689855	0.414	0.2189725	-0.324855	0.710145	-0.417	-0.313	-0.429855	0.1950725	-0.655855	-0.2044275	-0.5249275	-0.726	-0.931855	0.0986225	-0.5554275	0.0994	-0.250855	-0.426	-0.545	-0.134555	-0.067855	-0.1764275	-0.276855	-0.179855	-0.048505	0.7270725	0.15	-0.140355	0.0414225	-0.121	0.713145	0.041045	-0.793855	0.221	-0.1734275	-0.919855	-0.512855	-0.028055	-0.022655	-0.604855	-0.1294275	-0.111355	0.267145	-0.0743275	-0.383855	-0.309	0.509145	-0.3249275	-1.304855	0.382	-0.890855	0.12	-0.695	0.4685725	0.245	-0.247855	-0.459855	0.166145	0.445	0.498145	0.371145	0.015945	-0.0501	-0.527	-0.1539275	0.955145	0.669145	0.0433175	-0.0287	-0.115	0.1515725	0.271145	0.271	0.477145	-0.2304275	0.3440725	-0.591855	0.0432	-0.506	-0.552855	0.1975725	0.291	-0.7274275	-0.307	-0.493855	0.1881225	-0.408855	-0.157	-0.370855	-0.107	0.035945	-0.239855
"ANXA3"	-0.19875	-0.2867	-0.9165	0.189	0.0468	-0.8385	-1.48325	1.14	0.165	-0.245	-0.244	-0.7645	-0.409	0.243	0.8135	-1.3165	-1.2965	-1.7365	0.0965	-0.0185	-0.2663	-0.545	0.1035	0.3	-0.183	-0.2532	-0.0665	0.678	0.62525	0.1435	0.9635	-0.0588	0.699	1.6835	-0.0047	-1.7565	-0.0915	-1.17775	1.83	1.0435	0.33525	-0.44975	0.122	0.8135	-1.22	0.51	1.3635	-0.7945	0.01075	-1.1275	-1.8265	-0.3955	-1.41325	-1.14	-1.3765	0.08325	0.358	0.6485	0.4405	-0.8895	0.0669	-1.44975	-1.5965	0.5245	-0.5705	-0.9745	0.4015	-0.52405	-0.1235	1.1935	-0.86125	-0.4985	-1.23	-1.0565	0.0168	0.4285	-0.896	-0.7655	0.0389	0.515	0.20575	-0.284	-0.6615	0.6435	0.4925	0.0485	0.1435	-0.7535	0.4745	-1.25	-0.329	-0.83225	-0.7485	-1.4865	-0.90375	0.469	0.00707	-0.60575	-0.7145	-0.742	-0.4955	-0.17825	-0.71775	-0.5665	-0.382	-0.993	-0.1825	1.10175	-0.9	-0.66875	-1.15	0.2615	-0.02065	0.2745	0.257	-0.4375	0.0681	-0.1095	-0.3413
"RHEB"	-0.43555	0.048	-0.3011	0.0201	-0.085	-0.1241	0.18995	0.0673	-0.171	0.364	-0.0202	-0.0402	0.116	0.803	-0.2111	-0.2421	0.3609	0.0852	-0.3481	-0.2961	0.1349	-0.681	-0.1631	0.11	0.268	0.0341	0.0283	-0.514	-0.0157	0.7879	0.1789	-0.154	0.351	0.2659	-0.18605	-0.3911	0.11445	-0.21355	0.328	0.5629	0.12635	0.17765	-0.0546	0.0772	0.311	0.694	-0.0347	0.0418	0.34145	-0.4731	-0.1611	-0.2521	-0.29055	-0.216	0.5049	0.06045	-0.113	-0.4691	0.3209	0.0424	-0.403	0.48745	0.3229	0.2709	-0.1121	-0.2901	0.8149	0.84945	-0.1641	0.0928	0.61445	0.3319	0.00211	0.0446	-0.06575	0.1389	-0.147	0.4809	0.00294	-0.0901	-0.06815	0.0229	0.0879	0.1139	-0.0361	-0.235	-0.3911	0.1769	-0.2151	-0.204	-0.202	-0.19355	-0.0433	1.3489	0.014265	0.191	0.122	0.0889	0.3689	0.242	-0.5831	-0.41605	-0.21205	0.5849	-0.185	0.808	-0.2991	0.11695	0.021	-0.37005	-0.364	-0.5551	-0.01805	-0.047	0.529	0.2649	0.148	0.1439	-0.3431
"CPT2"	-0.308525	-0.07295	-0.59405	-0.195	0.154	-0.44905	-0.120425	0.373	-0.568	-0.661	-0.673	0.71395	-0.494	0.781	0.48795	0.20595	0.30095	-0.21905	0.01195	-0.26205	0.08495	0.678	-0.33505	-0.0187	-0.0353	-0.06295	0.23795	-0.616	-0.175175	-0.61605	0.03995	4.81e-06	0.117	0.89795	0.587975	-0.23405	-0.227075	-0.510025	0.369	0.53895	-0.529525	-0.523025	-0.55	0.36395	0.318	0.151	0.33295	-0.12545	-0.254525	0.51495	0.13195	0.33195	0.425475	-0.647	-0.25105	-0.099875	-0.409	-0.48605	0.02595	0.87995	-0.127	0.549475	-0.19245	-0.86205	0.18295	-0.18505	-5e-05	-0.497025	-0.27605	-5e-05	-0.490025	-0.27805	-0.719	-0.30805	-0.367525	1.16795	-0.48	0.83795	-0.354	0.278	-0.677525	0.452	-0.43405	-0.45405	-0.51005	-0.299	0.76895	0.41195	-0.63505	0.0135	0.0789	0.309975	-0.50705	-0.24505	-0.476525	0.0317	-0.104	-0.807025	0.36895	0.127	-0.12845	0.119975	0.729975	-0.17035	-0.294	-0.4	-0.09865	-0.150525	-0.596	0.210475	-0.525	-0.77005	-0.889525	0.56895	-0.49	-0.08985	-0.000328	-0.44505	-1.36205
"PTGR1"	-0.1804175	0.003865	-0.297135	-1.02	-0.11	-1.027135	-0.6090675	1.61	0.456	-1.45	-0.716	-0.142335	-0.181	0.498	0.566865	-0.785135	0.237865	-0.377135	-0.428135	0.827865	-0.154635	-2.4	-0.607135	-0.284	-0.104	-0.173635	-0.388135	0.57	-1.7415675	0.145865	0.108865	-0.0239	-0.0695	-0.019135	0.2209325	0.130865	-0.3480675	-0.3045675	-0.41	-0.003135	0.1002825	0.0382825	-0.568	-0.337135	-0.751	0.318	0.411865	0.365865	0.5664325	0.161865	-0.421135	0.976865	-0.2970675	-0.411	-0.652135	-0.5400675	-0.363	-0.024335	-0.490135	-0.726135	-0.496	-0.4406825	-0.045335	0.469865	0.124865	-0.623135	-0.299135	-0.0412225	-0.830135	-0.377135	0.2739325	-0.362135	-0.125	-0.385135	-0.2365675	0.015865	-0.306	-0.095835	-0.374	0.119	-0.3410675	-0.232	0.559865	-0.426135	-0.426135	-0.763	-0.515135	-0.061635	0.236865	-0.00218	1	-0.0870675	0.003865	-0.213635	0.0512325	-0.379	-0.546	-0.0305325	0.608865	0.271	-0.912135	-0.8425675	1.3484325	-0.801135	-0.436	0.26	-0.514135	-0.0131675	-0.681	-0.3620675	0.423	-0.412135	-0.8680675	0.566865	-0.281	-0.129445	-0.997	-0.116825	0.135865
"CARHSP1"	-0.3423525	0.311295	-0.294705	0.0762	0.846	0.124295	-0.5793525	0.419	-0.484	-0.32	-0.142	0.155295	-0.283	0.164	-0.443705	-0.379705	0.420295	0.092095	-0.229705	0.222295	-0.271705	-0.00446	-0.199705	-0.168	-0.561	0.332295	0.501295	-0.0927	-0.1289025	0.117895	0.087695	0.8	-0.377	0.763295	0.0677475	0.089395	0.0819425	-0.1928525	0.18	0.308295	-0.0993025	0.0741475	0.903	-0.916705	-0.35	-0.94	1.162295	-0.286705	0.1867975	-0.545705	-0.117705	0.124295	-0.4258525	-0.416	0.043595	0.2076475	-0.0279	-0.199705	0.095895	0.335295	-0.258	-1.1523525	-0.111705	-0.388705	-0.252705	-0.009105	-0.555705	-0.1578025	-0.250705	0.027355	0.1801475	-0.341705	0.484	0.054595	0.2839525	0.104295	0.128	-0.477705	-0.0064	-0.0219	-0.4703525	0.114	0.555295	0.414295	-1.107705	-0.23	0.436295	-0.019205	-0.098705	0.192	0.284	0.6906475	0.495295	0.629295	0.0299475	-0.166	-0.171	0.3606475	0.775295	0.0403	-0.286705	-0.0655025	0.2291475	-0.488705	0.764	-0.274	0.017235	0.3194475	-0.0241	-0.2643525	0.238	0.227295	-0.2461025	-0.515705	0.186	-0.071905	0.826	0.040595	0.069895
"FUT8"	-0.074575	-0.27205	-0.22805	-0.343	0.361	-0.28305	0.242325	0.0885	0.456	-0.337	-0.105	-0.19265	0.297	-0.174	-0.70305	-0.77305	-0.52705	-0.60005	-0.16705	-0.06025	-0.63905	0.216	-0.83505	0.197	-0.431	-0.77205	0.13495	0.972	0.028975	0.24895	-1.02705	0.483	0.0694	-0.98705	0.262475	-0.33405	-0.568025	-0.182675	1.07	-0.97405	0.081815	-0.344275	-0.334	-0.35105	-0.247	-0.0659	0.51395	-1.44205	0.1224185	-0.59305	0.23195	-0.22175	-0.261025	-0.473	0.54995	0.054475	-0.481	-0.21685	-0.49805	-0.33805	-0.643	-0.029325	-0.53405	-0.00605	0.36495	0.06795	-0.09965	-0.782725	-0.19175	-0.31805	0.876475	0.28695	-0.16	0.07095	0.013675	0.03295	-0.197	-0.18815	0.264	-0.314	-0.062575	0.68	0.32395	-0.28305	0.57895	-0.03	0.66995	-0.36405	0.33795	-0.051	-0.632	0.654975	-0.02405	-0.38005	-0.592525	-0.452	0.0926	-0.350925	0.03595	-0.351	0.10695	-0.483025	-0.049275	0.65195	0.361	0.267	-0.22975	0.065475	-0.192	-0.414525	-0.447	-0.43905	-0.052725	-1.25205	-0.0726	-0.14825	0.378	0.06095	-0.19665
"GALM"	0.7835775	-0.381845	0.117155	0.331	0.155	0.064055	0.0845775	0.298	0.681	-0.394	-0.0462	-0.435845	-0.0553	-0.241	-0.492845	0.122155	0.393155	0.042855	0.126155	-0.298845	-0.047045	-0.0538	0.018355	-0.189	-0.34	-0.402845	-0.303845	-0.0735	-0.0635225	-0.283845	0.166155	0.102	0.802	-0.512845	-0.0088025	0.233155	-0.3993225	-0.2829225	-0.29	-0.783845	0.1239775	-0.5749225	0.503	-0.191845	0.859	-0.122	0.110155	-1.554845	-0.2079225	0.648155	1.055155	0.355155	0.2510775	-0.052	-0.111845	0.6480775	0.119	0.949155	0.936155	-0.111845	-0.148	-0.3094225	-0.006675	0.208155	-0.085645	-0.094345	0.081555	-0.1394225	0.088455	0.002075	-0.2489225	0.126155	0.412	-0.104645	0.0928625	-0.355845	-0.251	0.248155	-0.298	-0.396	0.3440775	-0.046	0.559155	-0.457845	0.152155	0.334	0.960155	-0.286845	-0.022945	0.0132	0.0363	-0.1904225	0.220155	0.380155	0.0292275	-0.381	0.373	-0.1044225	-0.827845	0.158	0.449155	-0.1311225	0.2540775	0.405155	-0.0966	-0.0208	-0.263845	-0.2419225	-0.208	-0.0019525	-0.302	0.297155	-0.4954225	1.285155	-0.355	-0.414845	-0.169	-0.381845	0.308155
