Genes	TCGA-24-1553-01A	TCGA-36-1569-01A	TCGA-24-1603-01A	TCGA-24-1557-01A	TCGA-24-1104-01A	TCGA-61-1724-01A	TCGA-24-1464-01A	TCGA-25-1318-01A	TCGA-24-1105-01A	TCGA-24-2023-01A	TCGA-29-1776-01A	TCGA-25-2409-01A	TCGA-25-1329-01A	TCGA-61-1911-01A	TCGA-24-2298-01A	TCGA-13-1489-01A	TCGA-61-1914-01A	TCGA-24-1431-01A	TCGA-24-1416-01A	TCGA-29-1696-01A	TCGA-24-1604-01A	TCGA-29-1711-01A	TCGA-36-1570-01A	TCGA-59-2348-01A	TCGA-25-1631-01A	TCGA-24-2033-01A	TCGA-24-1103-01A	TCGA-25-1322-01A	TCGA-24-1552-01A	TCGA-25-1321-01A	TCGA-59-2352-01A	TCGA-61-1918-01A	TCGA-25-1313-01A	TCGA-13-1511-01A	TCGA-24-2267-01A	TCGA-25-2400-01A	TCGA-29-1763-01A	TCGA-61-2008-01A	TCGA-29-1690-01A	TCGA-24-2024-01A	TCGA-29-1688-01A	TCGA-29-2427-01A	TCGA-13-1507-01A	TCGA-29-1769-01A	TCGA-24-1428-01A	TCGA-30-1866-01A	TCGA-23-1123-01A	TCGA-25-2399-01A	TCGA-61-1907-01A	TCGA-24-2261-01A	TCGA-61-1995-01A	TCGA-13-2060-01A	TCGA-24-2290-01A	TCGA-13-1497-01A	TCGA-24-2288-01A	TCGA-13-1404-01A	TCGA-24-1422-01A	TCGA-29-1710-01A	TCGA-29-1766-01A	TCGA-13-1483-01A	TCGA-13-1410-01A	TCGA-13-1488-01A	TCGA-29-1770-01A	TCGA-29-1693-01A	TCGA-30-1891-01A	TCGA-24-1430-01A	TCGA-25-1628-01A	TCGA-29-1705-01A	TCGA-13-1499-01A	TCGA-36-1580-01A	TCGA-25-1320-01A	TCGA-61-1919-01A	TCGA-24-1562-01A	TCGA-29-1785-01A	TCGA-23-1122-01A	TCGA-25-1635-01A	TCGA-24-1435-01A	TCGA-24-2289-01A	TCGA-13-1485-01A	TCGA-36-1576-01A	TCGA-29-2414-01A	TCGA-29-1777-01A	TCGA-13-1501-01A	TCGA-13-1495-01A	TCGA-13-1487-01A	TCGA-24-1467-01A	TCGA-24-2027-01A	TCGA-25-1312-01A	TCGA-24-2020-01A	TCGA-29-1774-01A	TCGA-61-1910-01A	TCGA-29-1762-01A	TCGA-24-1558-01A	TCGA-61-1741-01A	TCGA-13-1492-01A	TCGA-36-1571-01A	TCGA-29-1697-01A	TCGA-61-1900-01A	TCGA-61-2088-01A	TCGA-13-1409-01A	TCGA-36-1581-01A	TCGA-24-1923-01A	TCGA-24-1550-01A	TCGA-24-1563-01A	TCGA-25-1630-01A	TCGA-25-1323-01A	TCGA-25-1623-01A	TCGA-36-1577-01A	TCGA-25-2396-01A	TCGA-24-1474-01A	TCGA-25-1319-01A	TCGA-25-2404-01A	TCGA-29-1768-01A	TCGA-59-2351-01A	TCGA-24-1551-01A	TCGA-24-1544-01A	TCGA-24-1565-01A	TCGA-25-1316-01A	TCGA-09-2056-01A
Subtypes	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Differentiated	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Immunoreactive	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Mesenchymal	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Proliferative	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	Stromal	NA	NA	NA	NA
PDCD6	0.004596	-0.07085	-0.0592	0.50135	0.1	0.46535	-0.28365	0.05335	-0.36	0.226	-0.083	0.178175	0.39935	-0.193725	0.00355	-0.102825	0.552	0.10735	0.12935	0.34835	0.164	-0.04305	-0.48365	0.17435	-0.03235	0.20035	0.754675	0.01765	-0.124	0.236	-0.62565	0.26535	-0.07035	-0.01575	0.109	-0.81	0.038325	-0.018425	-0.39565	-0.15224	0.766175	-0.00645	-0.09795	-0.02845	0.696	0.342	-0.406	-0.22965	-0.256325	-0.08935	-0.249825	0.17035	0.108925	-0.81065	-0.786	0.29435	-0.22765	-0.44765	0.46735	-0.02265	-0.68165	-0.519	0.48635	-0.289325	0.31235	0.244675	-0.291825	0.06235	-0.589	-0.29065	-0.196	-0.0118	-0.017325	-0.944	0.14735	-0.397	0.398175	-0.213325	-0.47465	-0.75	-0.463	0.381	-0.02315	-0.435	-0.45665	0.0319	-0.446	-0.45365	-0.223	0.187	0.30135	-0.329825	-0.27365	-0.432825	0.44635	-0.52965	-0.15291	0.0299	-0.42165	0.25935	-0.96	0.405	0.674	-0.422	0.351	-0.41265	-0.213825	-0.73065	0.07835	-0.45765	-0.289	-0.310325	-0.494325	-0.61965	-0.372	0.06635	-0.14105	0.31	0.56835
EPB41L2	-0.140475	0.15575	-0.546	-0.58525	-0.307	0.03855	0.67475	-0.46425	-0.589	0.247	0.226	-0.300625	-0.29325	-0.519125	0.84475	-0.578125	-0.0192	0.27175	0.46475	-0.08855	-0.00252	-0.64425	0.41875	-0.67125	0.17375	0.13975	0.239875	0.39575	-0.216	0.834	0.98875	-0.42525	0.36475	-0.32725	-0.0704	1.4	-0.552125	0.043975	0.45975	-0.044325	0.625875	0.30375	-0.16625	-0.33325	-0.71	-0.508	-0.131	0.15975	-0.462825	-0.32625	-0.300625	0.52175	-0.420125	0.48075	-0.0479	-0.68325	0.35775	0.43475	0.04815	-0.47325	-0.09725	0.445	-0.39425	0.147375	-0.02406	-0.069925	0.065175	-0.21325	-0.299	-0.030994	0.0893	-0.0145	-0.229625	-0.185	-0.00555	0.503	-0.315625	0.189875	0.13375	0.0862	0.311	-0.0248	0.02485	0.235	0.49675	-0.146	0.413	1.08875	-1.24	-0.486	-1.25125	-0.375625	-0.49225	-0.625625	-0.28925	0.52875	0.064875	0.443	1.68875	-0.55925	-0.69	0.526	-0.425	-0.175	0.302	0.36875	0.502875	0.68875	1.25875	-0.48525	0.344	0.644375	0.260375	0.62875	0.325	-0.07945	0.64775	0.114	-0.30525
HSDL2	-0.35385	-0.6057	0.389	1.5373	0.569	0.5123	-0.1027	0.3583	-0.358	0.0432	-0.121	-0.30285	0.2923	-0.15735	1.2873	-0.03685	0.139	-0.1037	0.6943	0.3443	0.0585	0.1394	-0.0767	0.3513	0.10385	0.3503	0.37665	0.5163	-0.000227	0.41	0.3723	-0.4057	0.8913	-0.6687	-0.0753	-0.0464	0.24265	0.94465	-0.5097	-0.69285	-0.05205	0.3973	-0.2257	0.3363	0.33	-0.327	-0.15	0.0883	0.39065	0.1858	0.1439	-0.1537	0.47815	-0.0847	0.195	0.11075	-0.1667	-0.7187	-0.1077	0.4073	-0.3817	0.153	0.3433	-0.39085	-0.1917	0.08305	-0.26695	0.5473	-0.394	-0.2527	-0.377	-0.508	-0.32985	-0.324	0.1665	0.559	-0.07945	-0.43635	0.0715	-0.483	-0.163	-0.555	0.0591	-0.83	-0.0507	0.156	0.874	0.4843	0.318	0.388	-0.4097	0.73465	-0.2137	-0.10535	0.6573	-0.5387	0.56665	-0.0307	0.7073	-0.7777	-0.000425	0.802	-0.306	-0.496	0.212	-0.0127	0.23565	0.9663	0.7503	-0.4307	0.454	0.49915	0.19665	0.6233	-0.0255	0.1975	1.0083	-0.0268	0.3753
ALDOA	-0.1368	-0.3147	0.458	-0.1967	0.864	0.1833	-0.3677	0.3103	0.852	-0.105	-0.355	-0.13635	0.6723	0.09865	0.2753	0.60915	0.874	0.0527	-0.0644	1.2143	0.113	0.5303	0.3993	0.1703	0.0594	0.1313	0.60315	-0.3617	0.13	0.0279	-0.3177	0.0866	0.0855	0.9513	0.321	-0.733	-0.12985	0.06915	0.3863	0.1894	0.76715	-0.0158	-0.0424	-0.2447	0.618	-0.243	-0.938	0.011	-0.07985	-0.1967	-0.02735	-0.1737	0.25865	-0.0279	0.162	-0.4917	0.2043	-0.3487	-0.3947	0.3833	-0.4387	-0.232	0.4073	0.33715	0.5293	-0.26885	-0.41535	0.0553	-0.818	-0.0305	0.361	0.0513	-0.112235	0.242	0.2783	-0.528	0.40665	-0.40385	0.1083	-0.527	0.762	0.781	0.1743	0.551	0.5143	0.651	-0.932	-0.1657	-0.637	0.167	0.7503	-0.27285	-0.5487	-0.73785	-0.8387	-0.2307	0.08035	-0.623	-0.7987	0.1743	-0.105	-0.442	0.116	-0.164	-0.294	-0.4347	-0.33535	-0.6687	-0.3707	-0.8227	-0.306	-0.24595	0.33365	-0.6407	0.0152	-0.00793	-0.3297	-1.09	0.0559
CDH6	0.413	-1.007	-0.287	-0.765	-0.629	0.915	1.105	1.235	-0.122	0.129	1.04	-0.5835	-0.39704	-1.7325	0.408	0.9825	1.08	0.178	-0.963	-0.905	0.185	-1.172	-0.21	0.376	-0.4414	-0.667	-0.4995	-0.3622	0.749	0.451	-3.435	-0.583	0.885	-1.445	0.284	-0.176	-0.0965	0.826	0.488	0.24	-0.8655	-0.4725	1.345	-1.042	-0.221	1.5	-1.89	0.755	-2.0475	-0.3514	-0.179	-1.895	-1.0785	-1.635	1.06	-1.276	-0.919	-0.832	-0.981	-0.131	0.179	-0.332	0.905	1.0075	-1.125	0.1735	-0.1755	-0.713	-0.755	-0.3918	-0.944	-0.247	-0.587	1.22	-0.41296	-0.251	0.242	-0.029	-0.561	-0.0868	-0.405	-0.132	0.465	-0.475	-0.169	0.922	1.03	-0.927	-1.21	-0.277	-0.296	0.47	-1.555	-1.4025	-0.885	0.37	0.303	-0.387	-1.151	0.594	-1.75	-0.255	-0.443	0.421	-0.537	-0.3186	0.2038	-2.015	-1.25	-1.157	0.0439	-1.2975	-0.7995	-0.3225	-1.64	0.091	-2.295	-1.1	0.215
PDIA3	-0.2024275	-0.410855	-0.304	-0.414855	-0.0655	-0.018455	-0.297855	-0.680855	0.453	-0.278	0.414	0.1950725	-0.655855	-0.5249275	-0.931855	-0.5554275	-0.545	-0.067855	-0.179855	-0.048505	0.221	-0.512855	-0.028055	-0.604855	-0.111355	0.267145	-0.0743275	-0.383855	-0.695	0.245	0.166145	0.498145	0.371145	0.955145	-0.115	0.271	0.1975725	-0.7274275	-0.493855	0.1881225	0.1935725	0.527145	0.024245	-0.324855	-0.417	-0.726	-0.426	-0.134555	0.7270725	-0.140355	0.0414225	0.041045	-0.1734275	-0.890855	-0.0287	0.271145	0.115145	-0.044079	-0.058455	0.437145	0.038045	-0.413	-0.689855	0.2189725	-0.429855	-0.2044275	0.0986225	-0.919855	-0.309	0.509145	0.382	0.12	0.4685725	0.445	0.015945	-0.0501	-0.1539275	-0.2304275	-0.552855	0.291	-0.307	-0.157	-0.370855	-0.107	0.035945	0.34	-0.402	-0.133555	-0.313	0.0994	-0.250855	-0.1764275	0.713145	-0.3249275	0.669145	0.477145	0.3440725	-0.506	-0.408855	-0.239855	0.351	0.0131	0.127	0.221	-0.121	-0.022655	-0.1294275	-1.304855	-0.247855	-0.459855	-0.527	0.0433175	0.1515725	-0.591855	0.0432	0.710145	-0.276855	0.15	-0.793855
SLPI	-0.48675	0.8165	-0.12	-0.3415	0.499	-0.2295	-1.1745	0.5665	2.06	0.959	0.0349	0.39825	1.4355	0.43025	0.6085	0.18428	0.606	3.3655	-0.3435	0.4695	-0.256	1.0965	-0.5675	-0.9545	0.9385	0.052	0.50275	0.5695	-0.964	0.418	-0.6005	-0.7015	-0.5305	0.1372	0.226	0.242	-0.21575	-0.61925	0.2605	-2.64725	0.72875	-0.8495	1.6755	-0.1935	0.0695	-0.645	-0.593	1.2055	-1.02825	-0.3885	-1.27225	0.4255	-0.22475	0.0477	-0.239	-2.3745	0.1573	0.6505	0.9175	0.2435	2.2155	-0.572	-0.6405	2.70775	1.7155	-0.00375	-0.31825	-1.1745	-1.05	1.1655	0.999	-0.46	-0.86075	-0.998	-0.9045	-0.274	-0.01475	-0.66025	0.5215	-0.316	0.504	0.581	-0.2175	-0.268	0.6085	-0.669	-1.28	1.3855	-3.89	-2.45	0.3045	-1.10825	0.2455	-1.67225	-0.2455	0.5395	-0.85925	-1.58	-1.0045	1.1855	-0.641	-0.53	-0.927	-2.87	0.854	0.6785	1.75775	-0.8715	0.3765	-1.4745	0.196	-0.20125	-0.10275	-2.2045	0.149	2.9255	-1.1145	-1.68	-0.4035
ANXA3	-0.19875	-0.9165	0.0468	-0.7645	0.243	0.8135	-1.3165	-1.7365	-0.545	-0.183	0.678	-0.0047	-1.7565	-1.17775	1.0435	-0.44975	0.51	-0.7945	-1.8265	-0.3955	0.0669	0.5245	-0.5705	0.4015	-0.1235	1.1935	-0.86125	-0.4985	0.515	-0.284	0.4925	0.1435	-0.7535	-0.7485	0.00707	-0.742	1.10175	-0.66875	0.2615	-0.02065	-1.48325	-1.2965	-0.2532	0.1435	-0.0588	1.83	-1.22	1.3635	-1.41325	-1.3765	0.08325	0.4405	-1.44975	-0.7655	0.469	-0.7145	-0.2867	-0.8385	0.0965	-0.0185	0.1035	0.3	-0.0665	0.62525	1.6835	-0.0915	0.33525	-1.5965	-1.23	-1.0565	-0.896	0.0389	0.20575	0.0485	0.4745	-1.25	-0.83225	-0.17825	-0.1825	-0.9	-1.15	0.257	-0.4375	0.0681	-0.1095	1.14	-0.245	-0.2663	0.699	0.122	0.8135	0.01075	0.6485	0.0168	-1.4865	-0.4955	-0.71775	-0.993	0.2745	-0.3413	0.189	0.165	-0.244	-0.409	0.358	-0.9745	-0.52405	0.4285	-0.6615	0.6435	-0.329	-0.90375	-0.60575	-0.5665	-0.382	0.9635	-1.1275	-1.14	-0.8895
RHEB	-0.43555	-0.3011	-0.085	-0.0402	0.803	-0.2111	-0.2421	0.0852	-0.681	0.268	-0.514	-0.18605	-0.3911	-0.21355	0.5629	0.17765	0.694	0.0418	-0.1611	-0.2521	-0.403	0.2709	-0.1121	0.8149	-0.1641	0.0928	0.61445	0.3319	-0.0901	0.0229	-0.0361	-0.3911	0.1769	-0.0433	0.122	0.242	0.11695	-0.37005	-0.5551	-0.01805	0.18995	0.3609	0.0341	0.7879	-0.154	0.328	0.311	-0.0347	-0.29055	0.5049	0.06045	0.3209	0.48745	0.4809	0.191	0.3689	0.048	-0.1241	-0.3481	-0.2961	-0.1631	0.11	0.0283	-0.0157	0.2659	0.11445	0.12635	0.3229	0.00211	0.0446	-0.147	0.00294	-0.06815	-0.235	-0.2151	-0.204	-0.19355	-0.41605	-0.2991	0.021	-0.364	0.529	0.2649	0.148	0.1439	0.0673	0.364	0.1349	0.351	-0.0546	0.0772	0.34145	-0.4691	-0.06575	1.3489	-0.5831	-0.21205	0.808	-0.047	-0.3431	0.0201	-0.171	-0.0202	0.116	-0.113	-0.2901	0.84945	0.1389	0.0879	0.1139	-0.202	0.014265	0.0889	0.5849	-0.185	0.1789	-0.4731	-0.216	0.0424
